title,author,publisher,publication_date,discount,price,url,canbuy
我決定刻薄地生活：在不受傷害的情況下，打動人心的關係心理學【隨書加贈「自信有理，刻薄無罪!」金句書籤】,楊昌順,圓神,2023-02-01,66.0,237,https://www.books.com.tw/products/0010947064?loc=P_0005_039,True
假裝自己很外向，你在迎合什麼?：外向孤獨者的勇氣之書,楊思遠,圓神,2023-02-01,66.0,184,https://www.books.com.tw/products/0010947066?loc=P_0005_040,True
共擔池上：梁正賢翻轉地方的思維與商戰,梁正賢,圓神,2023-01-01,79.0,268,https://www.books.com.tw/products/0010945068?loc=P_0005_041,True
愛對自己,女王,圓神,2023-01-01,79.0,347,https://www.books.com.tw/products/0010945073?loc=P_0005_042,True
看似簡單卻說不出口的英文，原來這樣講,學英文吧IVY BAR,圓神,2022-12-01,7.0,280,https://www.books.com.tw/products/0010941887?loc=P_0005_043,True
執筆的欲望,席慕蓉,圓神,2022-12-01,9.0,441,https://www.books.com.tw/products/0010941905?loc=P_0005_044,True
深入人心的神表達：從一人告白到萬人演講，有邏輯就能說出精彩,"五頓,陶峻",圓神,2022-11-01,9.0,279,https://www.books.com.tw/products/0010939316?loc=P_0005_045,True
有母親等待的故鄉,淺田次郎,圓神,2022-11-01,79.0,316,https://www.books.com.tw/products/0010939303?loc=P_0005_046,True
乘風破浪的蛋黃酥：擁抱無可救藥的樂觀,何雪帆（美樂蒂 Melody）,圓神,2022-10-01,79.0,284,https://www.books.com.tw/products/0010936384?loc=P_0005_047,True
大V的正向教養實驗：融合蒙特梭利、薩提爾，不打罵、不利誘，養出孩子的好習慣,大V,圓神,2022-10-01,9.0,342,https://www.books.com.tw/products/0010936361?loc=P_0005_048,True
閱讀的方法：找到文明世界中，本該如此的我,羅振宇,圓神,2022-09-01,79.0,323,https://www.books.com.tw/products/0010933567?loc=P_0005_049,True
少女的祈禱,陳雪,圓神,2022-09-01,79.0,300,https://www.books.com.tw/products/0010933562?loc=P_0005_050,True
動機【橫山秀夫經典短篇集】,橫山秀夫,圓神,2022-09-01,9.0,342,https://www.books.com.tw/products/0010933563?loc=P_0005_051,True
自我的誕生：幫你建立強大真實的自己,武志紅,圓神,2022-08-01,9.0,324,https://www.books.com.tw/products/0010930837?loc=P_0005_052,True
成為讓別人快樂的人：母親留給我唯一重要的東西,永松茂久,圓神,2022-08-01,9.0,306,https://www.books.com.tw/products/0010930832?loc=P_0005_053,True
十分鐘熱度學習法：一句英語都不會說的少女，這樣成為美國律師,徐東珠,圓神,2022-07-01,9.0,315,https://www.books.com.tw/products/0010927868?loc=P_0005_054,True
因果螺旋：跨越時空的探索與思辨,陳建仁,圓神,2022-07-01,79.0,323,https://www.books.com.tw/products/0010927870?loc=P_0005_055,True
隈研吾建築圖鑑：專業導覽及手繪千幅圖片，美學、知識、旅遊一本全收錄,宮澤洋,圓神,2022-06-01,9.0,369,https://www.books.com.tw/products/0010924952?loc=P_0005_056,True
華燈之下：條通媽媽桑的懺情錄,敦子媽媽,圓神,2022-06-01,9.0,306,https://www.books.com.tw/products/0010924925?loc=P_0005_057,True
妳可以乖，但不能不懂男人的壞,大叔,圓神,2022-05-01,79.0,268,https://www.books.com.tw/products/0010922482?loc=P_0005_058,True
普通人的海外求職指南：不必留學，也能讓國際工作主動找上你,謝宗廷,圓神,2022-05-01,79.0,252,https://www.books.com.tw/products/0010922490?loc=P_0005_059,True
日本第一女公關的人際溝通術：不靠靈巧也能創造億萬業績的祕密,Enrike（小川愛莉）,圓神,2022-04-01,79.0,252,https://www.books.com.tw/products/0010920068?loc=P_0005_060,True
意念使用手冊：瞬間改變時間和空間的量子習慣,村松大輔,圓神,2022-04-01,79.0,244,https://www.books.com.tw/products/0010920075?loc=P_0005_061,True
先行者：名醫劉偉民逆流而上的人生,劉偉民,圓神,2022-03-01,9.0,270,https://www.books.com.tw/products/0010917123?loc=P_0005_062,True
塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定,邱奕霖,圓神,2022-03-01,79.0,292,https://www.books.com.tw/products/0010917161?loc=P_0005_063,True
ROLAND‧羅蘭【日本第一男公關‧漫畫二部曲】(全2冊不分售),"ROLAND,井上紀良",圓神,2022-02-01,75.0,495,https://www.books.com.tw/products/0010914233?loc=P_0005_064,True
高度狂熱【推理大師橫山秀夫․經典重譯珍藏版】,橫山秀夫,圓神,2022-02-01,9.0,378,https://www.books.com.tw/products/0010914263?loc=P_0005_065,True
脫癮而出不迷網：寫給網路原生世代父母的教養書,陳志恆,圓神,2022-01-01,79.0,252,https://www.books.com.tw/products/0010911530?loc=P_0005_066,True
傻瓜一直在路上：生命的練習曲,"曲全立,趙文豪",圓神,2022-01-01,9.0,342,https://www.books.com.tw/products/0010911546?loc=P_0005_067,True
微胖生存學：別讓體重決定妳的美,波痞,圓神,2021-12-01,9.0,333,https://www.books.com.tw/products/0010909075?loc=P_0005_068,True
萬事皆美好：讓無數希臘人感受幸福的禮物書,史戴凡諾斯．詹內奇斯,圓神,2021-12-01,9.0,279,https://www.books.com.tw/products/0010909077?loc=P_0005_069,True
別哭，切諾比,陳昇,圓神,2021-11-03,9.0,441,https://www.books.com.tw/products/0010906188?loc=P_0005_070,True
開心嗎?麗春,陳昇,圓神,2021-11-03,9.0,441,https://www.books.com.tw/products/0010906209?loc=P_0005_071,True
爸爸媽媽，請你看見我!,蔡沅達,圓神,2021-11-01,9.0,270,https://www.books.com.tw/products/0010906208?loc=P_0005_072,True
為什麼大家都來問我?只因受苦的人想得更透徹,幡野廣志,圓神,2021-11-01,9.0,288,https://www.books.com.tw/products/0010906214?loc=P_0005_073,True
氤氳之城【當代最受歡迎西班牙作家薩豐，獻給書迷的告別故事集】,卡洛斯．魯依斯．薩豐,圓神,2021-10-01,9.0,324,https://www.books.com.tw/products/0010903352?loc=P_0005_074,True
同姓同名,下村敦史,圓神,2021-10-01,9.0,360,https://www.books.com.tw/products/0010903339?loc=P_0005_075,True
焦慮是你的隱性天賦：倫敦大學心理諮商博士帶你看清負面情緒的強大力量,尹依依,圓神,2021-10-01,79.0,237,https://www.books.com.tw/products/0010903350?loc=P_0005_076,True
衝破黨禁1986：民進黨創黨關鍵十日紀實,王曉玟,圓神,2021-09-01,9.0,450,https://www.books.com.tw/products/0010900443?loc=P_0005_077,True
社會在走，歷史要懂：呂捷開講,呂捷,圓神,2021-09-01,79.0,260,https://www.books.com.tw/products/0010900428?loc=P_0005_078,True
法治大國的日常小事,鄭華娟,圓神,2021-08-01,9.0,315,https://www.books.com.tw/products/0010897783?loc=P_0005_079,True
達賴喇嘛談心經【好讀大字版】,達賴喇嘛,圓神,2021-08-01,9.0,279,https://www.books.com.tw/products/0010897786?loc=P_0005_080,True
什麼樣的禮物可以拯救你的人生?,伊蒂特．伊娃．伊格,圓神,2021-08-01,9.0,297,https://www.books.com.tw/products/0010897756?loc=P_0005_081,True
鬼滅的暗號：從角色、故事、戰鬥、時代、紋樣、聖地，解密《鬼滅之刃》,瀧音能之,圓神,2021-07-01,7.0,224,https://www.books.com.tw/products/0010894691?loc=P_0005_082,True
那一年，那些沒人說的故事,少女老王,圓神,2021-07-01,9.0,288,https://www.books.com.tw/products/0010894704?loc=P_0005_083,True
不能只有我看到!臺灣史上的小人物大有事,故事StoryStudio,圓神,2021-06-01,9.0,351,https://www.books.com.tw/products/0010892398?loc=P_0005_084,True
解鎖尼的冷姿勢,尼胖,圓神,2021-06-01,9.0,342,https://www.books.com.tw/products/0010892424?loc=P_0005_085,True
你羨慕我的溫暖，但我手很冰,馬卡龍腳趾（Chi）,圓神,2021-05-01,9.0,324,https://www.books.com.tw/products/0010889429?loc=P_0005_086,True
喜歡不了自己，那就從不討厭開始,涵寶寶,圓神,2021-05-01,9.0,288,https://www.books.com.tw/products/0010889438?loc=P_0005_087,True
深夜保健室,"深夜保健室節目製作團隊與醫師專家群,鄭家純",圓神,2021-04-07,9.0,405,https://www.books.com.tw/products/0010886804?loc=P_0005_088,False
「獺祭」的挑戰：從深山揚名世界的日本酒傳奇,弘兼憲史,圓神,2021-04-01,79.0,229,https://www.books.com.tw/products/0010886768?loc=P_0005_089,True
64【全球盛讚推崇，橫山秀夫經典鉅作】,橫山秀夫,圓神,2021-04-01,9.0,513,https://www.books.com.tw/products/0010886786?loc=P_0005_090,False
是我未經允許就喜歡了你,3am.talk,圓神,2021-04-01,9.0,315,https://www.books.com.tw/products/0010886832?loc=P_0005_091,True
藍月升起：送你18個快樂處方,陳創農,圓神,2021-03-03,9.0,261,https://www.books.com.tw/products/0010884660?loc=P_0005_092,True
我竟然把我自己的肚子搞大了,朱佩慧,圓神,2021-02-01,9.0,288,https://www.books.com.tw/products/0010881927?loc=P_0005_093,True
全世界最感人的生物學：用力的活，燦爛的死,稻垣榮洋,圓神,2021-02-01,9.0,261,https://www.books.com.tw/products/0010881904?loc=P_0005_094,True
吳淡如白話經典套書︰金瓶梅、鏡花緣,"吳淡如,李汝珍,蘭陵笑笑生",圓神,2021-02-01,9.0,513,https://www.books.com.tw/products/0010881919?loc=P_0005_095,True
三十而已，最好的明天還在等你,李尚龍,圓神,2021-01-01,9.0,261,https://www.books.com.tw/products/0010879065?loc=P_0005_096,True
神住宿：超值星級體驗，精選全台13間寺廟、教會,943,圓神,2021-01-01,75.0,292,https://www.books.com.tw/products/0010879070?loc=P_0005_097,True
英雄時代,席慕蓉,圓神,2020-12-01,9.0,360,https://www.books.com.tw/products/0010876393?loc=P_0005_098,True
胡馬依北風,席慕蓉,圓神,2020-12-01,9.0,333,https://www.books.com.tw/products/0010876396?loc=P_0005_099,True
自己的力學：找到喜歡又做得好的事,洪瀞,圓神,2020-12-01,9.0,333,https://www.books.com.tw/products/0010876408?loc=P_0005_100,True
北光,橫山秀夫,圓神,2020-12-01,9.0,396,https://www.books.com.tw/products/0010876419?loc=P_0005_001,True
你值得被理解,小姿,圓神,2020-11-01,9.0,252,https://www.books.com.tw/products/0010873956?loc=P_0005_002,True
不完美的11歲,"凱莉哥,小露",圓神,2020-11-01,9.0,360,https://www.books.com.tw/products/0010873963?loc=P_0005_003,True
C30登機門的心靈旅程：改變一生的六場邂逅,馬修‧莫克理奇,圓神,2020-10-01,9.0,279,https://www.books.com.tw/products/0010870622?loc=P_0005_004,True
黑鑽定律：哈佛頂尖1%人士成就卓越的祕密,鄭周榮,圓神,2020-10-01,9.0,297,https://www.books.com.tw/products/0010870623?loc=P_0005_005,True
線，畫出的我【橫濱流星電影與原著小說雙書封珍藏版】,砥上裕將,圓神,2020-10-01,9.0,315,https://www.books.com.tw/products/0010870630?loc=P_0005_006,True
寫我的字，等你的清晨,默雨清晨,圓神,2020-09-01,9.0,324,https://www.books.com.tw/products/0010867770?loc=P_0005_007,True
不是所有親密關係都叫做愛情,陳雪,圓神,2020-09-01,9.0,315,https://www.books.com.tw/products/0010867752?loc=P_0005_008,True
你敢不敢一起來?：路邊攤詭誌錄,路邊攤,圓神,2020-08-01,66.0,217,https://www.books.com.tw/products/0010864590?loc=P_0005_009,True
那個病人，我人生的醫生,艾倫．狄維瑟,圓神,2020-08-01,9.0,297,https://www.books.com.tw/products/0010864592?loc=P_0005_010,True
斜槓青年【實踐版】：成為內控者，建立幸福人生的正向迴圈,Susan Kuang,圓神,2020-08-01,79.0,252,https://www.books.com.tw/products/0010864593?loc=P_0005_011,True
今天不挑戰，和張雅琴開心學英文,張雅琴,圓神,2020-07-01,9.0,288,https://www.books.com.tw/products/0010861692?loc=P_0005_012,True
遺跡訪詭錄,路邊攤,圓神,2020-07-01,66.0,204,https://www.books.com.tw/products/0010861700?loc=P_0005_013,True
幸好不漂亮,蕭綽,圓神,2020-06-01,9.0,252,https://www.books.com.tw/products/0010858361?loc=P_0005_014,True
幸好不漂亮 (電子書),蕭綽,圓神,2020-06-01,,196,https://www.books.com.tw/products/E050068784?loc=P_0005_015,True
