title,author,publisher,publication_date,discount,price,url
家弒服務,芙麗達．麥法登,寂寞,2023-07-01,79,363,https://www.books.com.tw/products/0010960201?loc=P_0005_027
家弒服務 (電子書),芙麗達．麥法登,寂寞,2023-07-01,88,283,https://www.books.com.tw/products/E050167052?loc=P_0005_028
家弒服務【精彩試讀本】 (電子書),芙麗達．麥法登,寂寞,2023-06-13,,0,https://www.books.com.tw/products/E050166200?loc=P_0005_029
不便利的便利店2,金浩然,寂寞,2023-05-01,79,331,https://www.books.com.tw/products/0010954883?loc=P_0005_030
不便利的便利店2 (電子書),金浩然,寂寞,2023-05-01,88,258,https://www.books.com.tw/products/E050158866?loc=P_0005_031
想殺的孩子,李花兒,寂寞,2023-04-01,9,315,https://www.books.com.tw/products/0010952693?loc=P_0005_032
想殺的孩子 (電子書),李花兒,寂寞,2023-03-30,,245,https://www.books.com.tw/products/E050156311?loc=P_0005_033
升級UPGRADE,布萊克．克勞奇,寂寞,2023-03-01,7,336,https://www.books.com.tw/products/0010950228?loc=P_0005_034
升級UPGRADE (電子書),布萊克．克勞奇,寂寞,2023-02-23,,336,https://www.books.com.tw/products/E050154156?loc=P_0005_035
米奇7號,愛德華．艾希頓,寂寞,2023-01-01,9,378,https://www.books.com.tw/products/0010945067?loc=P_0005_036
米奇7號 (電子書),愛德華．艾希頓,寂寞,2023-01-01,,294,https://www.books.com.tw/products/E050150326?loc=P_0005_037
記憶書店：一個預約復仇的空間,鄭明燮,寂寞,2022-12-01,79,308,https://www.books.com.tw/products/0010941900?loc=P_0005_038
記憶書店：一個預約復仇的空間 (電子書),鄭明燮,寂寞,2022-12-01,,273,https://www.books.com.tw/products/E050147907?loc=P_0005_039
詛咒兔子,鄭寶拉,寂寞,2022-10-01,9,396,https://www.books.com.tw/products/0010936388?loc=P_0005_040
詛咒兔子 (電子書),鄭寶拉,寂寞,2022-10-01,,308,https://www.books.com.tw/products/E050142419?loc=P_0005_041
不便利的便利店,金浩然,寂寞,2022-09-01,79,316,https://www.books.com.tw/products/0010933558?loc=P_0005_042
不便利的便利店 (電子書),金浩然,寂寞,2022-09-01,88,246,https://www.books.com.tw/products/E050140536?loc=P_0005_043
女巫瑟西,瑪德琳．米勒,寂寞,2022-08-01,9,432,https://www.books.com.tw/products/0010930763?loc=P_0005_044
女巫瑟西 (電子書),瑪德琳．米勒,寂寞,2022-08-01,,336,https://www.books.com.tw/products/E050138262?loc=P_0005_045
備份人生：歡迎回來!您的意識已下載,馬修．費茲西蒙斯,寂寞,2022-07-01,9,405,https://www.books.com.tw/products/0010927878?loc=P_0005_046
備份人生：歡迎回來!您的意識已下載 (電子書),馬修．費茲西蒙斯,寂寞,2022-07-01,,315,https://www.books.com.tw/products/E050135297?loc=P_0005_047
UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】,菲利普．狄克,寂寞,2022-05-01,7,301,https://www.books.com.tw/products/0010922471?loc=P_0005_048
UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】 (電子書),菲利普．狄克,寂寞,2022-05-01,,301,https://www.books.com.tw/products/E050129998?loc=P_0005_049
歡迎光臨夢境百貨2：找回不再做夢的人,李美芮,寂寞,2022-04-01,79,363,https://www.books.com.tw/products/0010920083?loc=P_0005_050
歡迎光臨夢境百貨2：找回不再做夢的人 (電子書),李美芮,寂寞,2022-04-01,,322,https://www.books.com.tw/products/E050127067?loc=P_0005_051
災難觀光團：命懸一線的旅程即將出發,尹高恩,寂寞,2022-03-01,9,324,https://www.books.com.tw/products/0010917136?loc=P_0005_052
災難觀光團：命懸一線的旅程即將出發 (電子書),尹高恩,寂寞,2022-03-01,,250,https://www.books.com.tw/products/E050122716?loc=P_0005_053
倖存之家,安．派契特,寂寞,2022-01-01,9,432,https://www.books.com.tw/products/0010911521?loc=P_0005_054
倖存之家 (電子書),安．派契特,寂寞,2022-01-01,,336,https://www.books.com.tw/products/E050117897?loc=P_0005_055
告訴我，你受了什麼苦?,西格麗德．努涅斯,寂寞,2021-12-01,9,351,https://www.books.com.tw/products/0010909058?loc=P_0005_056
告訴我，你受了什麼苦? (電子書),西格麗德．努涅斯,寂寞,2021-12-01,,273,https://www.books.com.tw/products/E050115241?loc=P_0005_057
靈魂穿越手稿,亞歷斯．蘭德金,寂寞,2021-09-01,9,396,https://www.books.com.tw/products/0010900446?loc=P_0005_058
靈魂穿越手稿 (電子書),亞歷斯．蘭德金,寂寞,2021-09-01,,308,https://www.books.com.tw/products/E050103136?loc=P_0005_059
歡迎光臨夢境百貨：您所訂購的夢已銷售一空,李美芮,寂寞,2021-08-01,79,339,https://www.books.com.tw/products/0010897792?loc=P_0005_060
歡迎光臨夢境百貨：您所訂購的夢已銷售一空 (電子書),李美芮,寂寞,2021-08-01,88,264,https://www.books.com.tw/products/E050099137?loc=P_0005_061
消失的匿名小說家,亞莉珊卓．安德魯斯,寂寞,2021-07-01,9,378,https://www.books.com.tw/products/0010894718?loc=P_0005_062
消失的匿名小說家 (電子書),亞莉珊卓．安德魯斯,寂寞,2021-07-01,,294,https://www.books.com.tw/products/E050096353?loc=P_0005_063
什麼荒謬年代,凱俐．瑞德,寂寞,2021-05-01,9,351,https://www.books.com.tw/products/0010889446?loc=P_0005_064
什麼荒謬年代 (電子書),凱俐．瑞德,寂寞,2021-05-01,88,240,https://www.books.com.tw/products/E050091685?loc=P_0005_065
摯友,西格麗德‧努涅斯,寂寞,2020-11-01,79,300,https://www.books.com.tw/products/0010873970?loc=P_0005_066
摯友 (電子書),西格麗德‧努涅斯,寂寞,2020-11-01,,266,https://www.books.com.tw/products/E050078511?loc=P_0005_067
三股髮辮,萊蒂西亞．寇隆巴尼,寂寞,2020-08-01,9,324,https://www.books.com.tw/products/0010864563?loc=P_0005_068
三股髮辮 (電子書),萊蒂西亞．寇隆巴尼,寂寞,2020-08-01,,250,https://www.books.com.tw/products/E050071591?loc=P_0005_069
血橙,海莉葉．泰絲,寂寞,2020-07-01,9,342,https://www.books.com.tw/products/0010861701?loc=P_0005_070
終結狩獵的女孩,大衛．拉格朗茲,寂寞,2020-06-01,9,369,https://www.books.com.tw/products/0010858396?loc=P_0005_071
終結狩獵的女孩 (電子書),大衛．拉格朗茲,寂寞,2020-06-01,,287,https://www.books.com.tw/products/E050068793?loc=P_0005_072
寂寞終站,班尼迪克‧威爾斯,寂寞,2020-05-01,9,333,https://www.books.com.tw/products/0010855831?loc=P_0005_073
神祕雲商城,羅柏．哈特,寂寞,2020-03-01,9,359,https://www.books.com.tw/products/0010849897?loc=P_0005_074
神祕雲商城 (電子書),羅柏．哈特,寂寞,2020-03-01,,279,https://www.books.com.tw/products/E050064151?loc=P_0005_075
神祕雲商城【博客來獨家封面版】 (電子書),羅柏．哈特,寂寞,2020-03-01,,279,https://www.books.com.tw/products/E050064253?loc=P_0005_076
神奇收費亭【電影暖身版.傳奇再現】,諾頓．傑斯特,寂寞,2020-01-01,9,270,https://www.books.com.tw/products/0010843710?loc=P_0005_077
神奇收費亭【電影暖身版.傳奇再現】 (電子書),諾頓．傑斯特,寂寞,2020-01-01,,210,https://www.books.com.tw/products/E050061899?loc=P_0005_078
五杯酒,安．格里芬,寂寞,2019-12-01,9,324,https://www.books.com.tw/products/0010840748?loc=P_0005_079
五杯酒 (電子書),安．格里芬,寂寞,2019-12-01,,250,https://www.books.com.tw/products/E050059788?loc=P_0005_080
記憶的玩物,布萊克．克勞奇,寂寞,2019-09-01,9,360,https://www.books.com.tw/products/0010831784?loc=P_0005_081
記憶的玩物 (電子書),布萊克．克勞奇,寂寞,2019-09-01,,280,https://www.books.com.tw/products/E050052771?loc=P_0005_082
冰龍【冰與火之歌的起點，喬治馬汀最愛的故事】,喬治．馬汀,寂寞,2019-04-01,79,252,https://www.books.com.tw/products/0010816812?loc=P_0005_083
冰龍【冰與火之歌的起點，喬治馬汀最愛的故事】 (電子書),喬治．馬汀,寂寞,2019-04-01,,224,https://www.books.com.tw/products/E050041443?loc=P_0005_084
暗夜飛行者【喬治馬汀NETFLIX影集原著】,喬治．馬汀,寂寞,2018-11-01,79,331,https://www.books.com.tw/products/0010802220?loc=P_0005_085
玩火的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,378,https://www.books.com.tw/products/0010793359?loc=P_0005_086
玩火的女孩【寂寞創社10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,294,https://www.books.com.tw/products/E050031431?loc=P_0005_087
龍紋身的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,378,https://www.books.com.tw/products/0010793338?loc=P_0005_088
直搗蜂窩的女孩【寂寞創社10週年紀念版】,史迪格‧拉森,寂寞,2018-08-01,9,405,https://www.books.com.tw/products/0010793357?loc=P_0005_089
龍紋身的女孩【寂寞創社10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,294,https://www.books.com.tw/products/E050031430?loc=P_0005_090
直搗蜂窩的女孩【寂寞出版10週年紀念版】 (電子書),史迪格‧拉森,寂寞,2018-08-01,,315,https://www.books.com.tw/products/E050031432?loc=P_0005_091
時光邊緣的男人【寂藍燙印版】,麥特．海格,寂寞,2018-03-08,9,333,https://www.books.com.tw/products/0010780600?loc=P_0005_092
時光邊緣的男人 (電子書),麥特．海格,寂寞,2018-03-08,,259,https://www.books.com.tw/products/E050023363?loc=P_0005_093
人生複本 (電子書),布萊克．克勞奇,寂寞,2018-01-01,,273,https://www.books.com.tw/products/E050020714?loc=P_0005_094
銀翼殺手【經典重譯本‧吳明益專文導讀】,菲利普‧狄克,寂寞,2017-09-01,79,284,https://www.books.com.tw/products/0010762208?loc=P_0005_095
銀翼殺手 (電子書),菲利普‧狄克,寂寞,2017-09-01,,252,https://www.books.com.tw/products/E050014324?loc=P_0005_096
人生複本,布萊克．克勞奇,寂寞,2017-04-01,79,308,https://www.books.com.tw/products/0010747225?loc=P_0005_097
蜘蛛網中的女孩,大衛．拉格朗茲,寂寞,2016-04-01,9,405,https://www.books.com.tw/products/0010709496?loc=P_0005_098
蜘蛛網中的女孩 (電子書),大衛．拉格朗茲,寂寞,2016-04-01,,338,https://www.books.com.tw/products/E050005094?loc=P_0005_099
再讓我說個故事好不好,艾加．凱磊,寂寞,2015-11-30,9,252,https://www.books.com.tw/products/0010696441?loc=P_0005_100
再讓我說個故事好不好,艾加．凱磊,寂寞,2015-11-30,9,252,https://www.books.com.tw/products/0010696441?loc=P_0005_001
S. 【中文版全球獨家收藏盒】,"J.J. 亞伯拉罕,道格‧道斯特",寂寞,2014-09-01,9,810,https://www.books.com.tw/products/0010646115?loc=P_0005_002
忽然一陣敲門聲 (電子書),艾加‧凱磊,寂寞,2014-03-31,,195,https://www.books.com.tw/products/E050005088?loc=P_0005_003
忽然一陣敲門聲,艾加‧凱磊,寂寞,2014-03-31,9,234,https://www.books.com.tw/products/0010629242?loc=P_0005_004
