title,author,publisher,publication_date,discount,price,url
感動的時刻，力量最大：真情相待，都是人性美與善的循環,戴晨志,圓神,2023-08-01,9,342,https://www.books.com.tw/products/0010962987?loc=P_0005_026
關鍵思維：解除焦慮，成為不凡的關鍵人物,馬克凡（Mark Ven）,圓神,2023-08-01,79,276,https://www.books.com.tw/products/0010962993?loc=P_0005_027
寫作課：陳雪給創作者的12道心法,陳雪,圓神,2023-07-01,79,316,https://www.books.com.tw/products/0010960174?loc=P_0005_028
真人真事真有事：那些課本沒有教的小故事、大歷史,Zass17,圓神,2023-07-01,9,297,https://www.books.com.tw/products/0010960203?loc=P_0005_029
心理能量使用說明書：安度靈魂暗夜，迎來豐盛人生,蘇予昕,圓神,2023-06-01,79,300,https://www.books.com.tw/products/0010957469?loc=P_0005_030
極光飯糰手習帖：免基礎、零失敗的140道超人氣料理,極光,圓神,2023-06-01,79,355,https://www.books.com.tw/products/0010957482?loc=P_0005_031
鐵道員【直木獎名作‧淺田次郎經典新譯】,淺田次郎,圓神,2023-06-01,9,342,https://www.books.com.tw/products/0010957483?loc=P_0005_032
從我開始的關係功課：先和自己打好關係，才能與他人建立好感連結,"徐慧玲 Lynn,羅鈞鴻（小虎）",圓神,2023-05-01,9,315,https://www.books.com.tw/products/0010954898?loc=P_0005_033
媽媽的說話練習：百萬按讚肯定!說對一句話，祝福孩子一生(附贈親子減壓溝通練習手冊),尹智映,圓神,2023-05-01,79,292,https://www.books.com.tw/products/0010954902?loc=P_0005_034
你不能選擇出身，但能活出想要的人生：大姐Selena寫給不甘現狀、不想放棄的你,陳珮甄 Selena,圓神,2023-04-01,79,276,https://www.books.com.tw/products/0010952675?loc=P_0005_035
安好誌(安然‧美好雙書腰，隨機出貨),白安,圓神,2023-03-01,9,369,https://www.books.com.tw/products/0010950238?loc=P_0005_036
心中住著野孩子,凱莉哥,圓神,2023-03-01,79,308,https://www.books.com.tw/products/0010950231?loc=P_0005_037
車上的女兒,宇佐見鈴,圓神,2023-03-01,9,288,https://www.books.com.tw/products/0010950243?loc=P_0005_038
我決定刻薄地生活：在不受傷害的情況下，打動人心的關係心理學【隨書加贈「自信有理，刻薄無罪!」金句書籤】,楊昌順,圓神,2023-02-01,66,237,https://www.books.com.tw/products/0010947064?loc=P_0005_039
假裝自己很外向，你在迎合什麼?：外向孤獨者的勇氣之書,楊思遠,圓神,2023-02-01,66,184,https://www.books.com.tw/products/0010947066?loc=P_0005_040
共擔池上：梁正賢翻轉地方的思維與商戰,梁正賢,圓神,2023-01-01,79,268,https://www.books.com.tw/products/0010945068?loc=P_0005_041
愛對自己,女王,圓神,2023-01-01,79,347,https://www.books.com.tw/products/0010945073?loc=P_0005_042
看似簡單卻說不出口的英文，原來這樣講,學英文吧IVY BAR,圓神,2022-12-01,7,280,https://www.books.com.tw/products/0010941887?loc=P_0005_043
執筆的欲望,席慕蓉,圓神,2022-12-01,9,441,https://www.books.com.tw/products/0010941905?loc=P_0005_044
深入人心的神表達：從一人告白到萬人演講，有邏輯就能說出精彩,"五頓,陶峻",圓神,2022-11-01,9,279,https://www.books.com.tw/products/0010939316?loc=P_0005_045
有母親等待的故鄉,淺田次郎,圓神,2022-11-01,79,316,https://www.books.com.tw/products/0010939303?loc=P_0005_046
乘風破浪的蛋黃酥：擁抱無可救藥的樂觀,何雪帆（美樂蒂 Melody）,圓神,2022-10-01,79,284,https://www.books.com.tw/products/0010936384?loc=P_0005_047
大V的正向教養實驗：融合蒙特梭利、薩提爾，不打罵、不利誘，養出孩子的好習慣,大V,圓神,2022-10-01,9,342,https://www.books.com.tw/products/0010936361?loc=P_0005_048
閱讀的方法：找到文明世界中，本該如此的我,羅振宇,圓神,2022-09-01,79,323,https://www.books.com.tw/products/0010933567?loc=P_0005_049
少女的祈禱,陳雪,圓神,2022-09-01,79,300,https://www.books.com.tw/products/0010933562?loc=P_0005_050
動機【橫山秀夫經典短篇集】,橫山秀夫,圓神,2022-09-01,9,342,https://www.books.com.tw/products/0010933563?loc=P_0005_051
自我的誕生：幫你建立強大真實的自己,武志紅,圓神,2022-08-01,9,324,https://www.books.com.tw/products/0010930837?loc=P_0005_052
成為讓別人快樂的人：母親留給我唯一重要的東西,永松茂久,圓神,2022-08-01,9,306,https://www.books.com.tw/products/0010930832?loc=P_0005_053
十分鐘熱度學習法：一句英語都不會說的少女，這樣成為美國律師,徐東珠,圓神,2022-07-01,9,315,https://www.books.com.tw/products/0010927868?loc=P_0005_054
因果螺旋：跨越時空的探索與思辨,陳建仁,圓神,2022-07-01,79,323,https://www.books.com.tw/products/0010927870?loc=P_0005_055
隈研吾建築圖鑑：專業導覽及手繪千幅圖片，美學、知識、旅遊一本全收錄,宮澤洋,圓神,2022-06-01,9,369,https://www.books.com.tw/products/0010924952?loc=P_0005_056
華燈之下：條通媽媽桑的懺情錄,敦子媽媽,圓神,2022-06-01,9,306,https://www.books.com.tw/products/0010924925?loc=P_0005_057
妳可以乖，但不能不懂男人的壞,大叔,圓神,2022-05-01,79,268,https://www.books.com.tw/products/0010922482?loc=P_0005_058
