attr,cate,rank,title,author,price,page,date,type,discount,price_
7,,43,排球少年！！最終導讀手冊 排球極！ 全,古舘春一,優惠價：85折187元,tops,2024-08-05 11:41:08,topsales,85,187
7,,44,小說 葬送的芙莉蓮 ～前奏～ 全 (首刷限定版),"八目迷 ,山田鐘人",優惠價：85折204元,tops,2024-08-05 11:41:08,topsales,85,204
7,,45,誰的內心不是五勞七傷？但我們依然晶光燦爛！——何如芸與姐妹們的悄悄話,何如芸,優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,46,蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,優惠價：79折316元,tops,2024-08-05 11:41:08,topsales,79,316
7,,47,從0到1的創業思維：高效創利、絕對獲利，新創、接班、轉型必備的企業成長指南（博客來獨家金句書籤版）,"陳宗賢,唐美娟",優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,48,大棋盤：全球戰略大思考（2021年版）(四版),布里辛斯基,優惠價：9折315元,tops,2024-08-05 11:41:08,topsales,9,315
7,,49,不時輕聲地以俄語遮羞的鄰座艾莉同學 (8),燦燦SUN,優惠價：79折197元,tops,2024-08-05 11:41:08,topsales,79,197
7,,50,中華傳統智慧的生活美學：以易經、詩詞、對聯，走進現代生活的視野,戴輝源,優惠價：9折378元,tops,2024-08-05 11:41:08,topsales,9,378
7,,51,你是時光最美好的遇見：加筆萬字，經典再現《你是時光最浪漫的解藥》的念念與不忘【親筆簽名版/附獨家燙印藏書紀念卡】,蘇乙笙,優惠價：79折299元,tops,2024-08-05 11:41:08,topsales,79,299
7,,52,鏈鋸人 17 (首刷限定版),藤本樹,優惠價：85折170元,tops,2024-08-05 11:41:08,topsales,85,170
7,,53,我讓最想被擁抱的男人給威脅了 9(首刷限定版),桜日梯子,優惠價：85折161元,tops,2024-08-05 11:41:08,topsales,85,161
7,,54,AI 的它時代，臺灣企業的大機遇,"林之晨,蔡祈岩",優惠價：79折355元,tops,2024-08-05 11:41:08,topsales,79,355
7,,55,心聲販賣所【親筆簽名版】,Misa,優惠價：79折252元,tops,2024-08-05 11:41:08,topsales,79,252
7,,56,你就是困住自己的那座山：終結自我破壞，實現自我控制,布莉安娜．魏斯特,優惠價：79折315元,tops,2024-08-05 11:41:08,topsales,79,315
7,,57,〔葬送的芙莉蓮〕畫集 1 (首刷限定版),"山田鐘人,阿部司",優惠價：85折416元,tops,2024-08-05 11:41:08,topsales,85,416
7,,58,窮查理的普通常識（紀念典藏版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理．蒙格,優惠價：79折395元,tops,2024-08-05 11:41:08,topsales,79,395
7,,59,迷宮飯(14)END,九井諒子,優惠價：9折126元,tops,2024-08-05 11:41:08,topsales,9,126
7,,60,10倍成長思維：成功者獲得時間、財富、人際圈、目標自由的高效成長法則,"丹．蘇利文,班傑明．哈迪 博士",優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,61,爸爸是超人力霸王！,宮西達也,優惠價：75折292元,tops,2024-08-05 11:41:08,topsales,75,292
7,,62,影響力：讓人乖乖聽話的說服術(全新增訂版),羅伯特．席爾迪尼,優惠價：79折379元,tops,2024-08-05 11:41:08,topsales,79,379
7,,63,迷宮飯(13),九井諒子,優惠價：9折126元,tops,2024-08-05 11:41:08,topsales,9,126
7,,64,月刊少女野崎同學(15)限定版,椿泉,優惠價：9折359元,tops,2024-08-05 11:41:08,topsales,9,359
7,,65,此刻，就是立遺囑的最好時刻：最溫暖的律師事務所主持人×最有愛的財富傳承手諭,"蘇家宏,游婉琪",優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,66,被討厭的勇氣：自我啟發之父「阿德勒」的教導,"岸見一郎,古賀史健",優惠價：79折237元,tops,2024-08-05 11:41:08,topsales,79,237
7,,67,小美老師如是說 4 (首刷限定版),"鹿成徳策,無敵蘇打",優惠價：85折144元,tops,2024-08-05 11:41:08,topsales,85,144
7,,68,我人生的好運，都因寫作而發生：讓自己好運漲停板的划算投資。國考、學測、會考、求職、晉升都需要，全國冠軍教練的高質量寫作祕笈。,郭繐綺,優惠價：79折331元,tops,2024-08-05 11:41:08,topsales,79,331
7,,69,餘溫,雪倫,優惠價：79折260元,tops,2024-08-05 11:41:08,topsales,79,260
7,,70,夜與海3（完）【首刷附錄版】,郷本,優惠價：9折180元,tops,2024-08-05 11:41:08,topsales,9,180
7,,71,間諜海岸（博客來獨家版）,泰絲．格里森,優惠價：79折410元,tops,2024-08-05 11:41:08,topsales,79,410
7,,72,排球少年！！ 垃圾場的決戰 總集篇 全,古舘春一,優惠價：85折297元,tops,2024-08-05 11:41:08,topsales,85,297
7,,73,創業打怪生存攻略：股權分配×公司營運×智財保護×資金募集，商務律師帶你一本破關！,"陳全正,張媛筑",優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,74,極樂街(03)特裝版,佐乃夕⽃,優惠價：400元,tops,2024-08-05 11:41:08,topsales,,400
7,,75,矢吹健太朗畫業25週年紀念插畫集 Digital Art Collection High Light 全 (首刷限定版),矢吹健太朗,優惠價：85折960元,tops,2024-08-05 11:41:08,topsales,85,960
7,,76,What Does the Fox Say?狐狸說了什麼？ 2,팀가지,優惠價：79折316元,tops,2024-08-05 11:41:08,topsales,79,316
7,,77,神奇筆記本：輪盤與信仰的神奇交會,劉駿豪,優惠價：79折284元,tops,2024-08-05 11:41:08,topsales,79,284
7,,78,不反應的練習：讓所有煩惱都消失，世界最強、最古老的心理訓練入門,草薙龍瞬,優惠價：79折252元,tops,2024-08-05 11:41:08,topsales,79,252
7,,79,情緒流動（限量親簽版，加贈語錄書籤磁鐵2款1組）,胡展誥,優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,80,媽媽，你會永遠愛我嗎？,凱瑟琳．勒布朗,優惠價：79折221元,tops,2024-08-05 11:41:08,topsales,79,221
