title,author,publisher,publication_date,discount,price
大自然在唱歌,Sigurd F. Olson,先覺,1999-07-30,9,198
透明社會：個人隱私VS.資訊自由,David Brin,先覺,1999-07-02,9,297
轉向：從尼克森到柯林頓美中關係揭密,James H. Mann,先覺,1999-06-28,9,351
發現科學─七大科學理論及大師,"arnold R. Brody,David Eliot Brody",先覺,1999-06-27,9,234
不朽的傳說,Isak Dinesen,先覺,1999-06-01,9,216
購併之神王嘉廉傳奇,溫英超,先覺,1999-06-01,9,216
兩個幸運的人─諾貝爾經濟學獎得主傅利曼自傳,Milton & Rose D. Friedman,先覺,1999-04-01,9,540
莫札特效應─音樂身心靈療法,Don Campbell,先覺,1999-04-01,9,315
命運之舞：基因的故事,Steve Jones,先覺,1999-03-01,9,342
台灣有沒有明天?─台海危機美中台關係揭密,James R. Lilley & Chuck Downs,先覺,1999-02-01,9,315
歐元啟示錄—轉捩點上的五條路,David Smith,先覺,1999-02-01,9,270
白色旅店,D. M. Thomas,先覺,1999-01-02,9,261
失竊的未來─生命的隱形浩劫,T.COLBORN D.DUMANOSKI J.P.MYERS,先覺,1999-01-01,9,252
山高水清-五百天徒步跨歐之旅,Nicholas Crane,先覺,1900-01-01,9,351
