title,author,publisher,publication_date,discount,price
爸爸媽媽，請你看見我!,蔡沅達,圓神,2021-11-01,9,270
為什麼大家都來問我?只因受苦的人想得更透徹,幡野廣志,圓神,2021-11-01,9,288
氤氳之城【當代最受歡迎西班牙作家薩豐，獻給書迷的告別故事集】,卡洛斯．魯依斯．薩豐,圓神,2021-10-01,9,324
同姓同名,下村敦史,圓神,2021-10-01,9,360
焦慮是你的隱性天賦：倫敦大學心理諮商博士帶你看清負面情緒的強大力量,尹依依,圓神,2021-10-01,79,237
衝破黨禁1986：民進黨創黨關鍵十日紀實,王曉玟,圓神,2021-09-01,9,450
社會在走，歷史要懂：呂捷開講,呂捷,圓神,2021-09-01,9,297
達賴喇嘛談心經【好讀大字版】,達賴喇嘛,圓神,2021-08-01,9,279
法治大國的日常小事,鄭華娟,圓神,2021-08-01,9,315
什麼樣的禮物可以拯救你的人生?,伊蒂特．伊娃．伊格,圓神,2021-08-01,79,260
鬼滅的暗號：從角色、故事、戰鬥、時代、紋樣、聖地，解密《鬼滅之刃》,瀧音能之,圓神,2021-07-01,9,288
那一年，那些沒人說的故事,少女老王,圓神,2021-07-01,7,224
不能只有我看到!臺灣史上的小人物大有事,故事StoryStudio,圓神,2021-06-01,9,351
解鎖尼的冷姿勢,尼胖,圓神,2021-06-01,9,342
你羨慕我的溫暖，但我手很冰,馬卡龍腳趾（Chi）,圓神,2021-05-01,9,324
喜歡不了自己，那就從不討厭開始,涵寶寶,圓神,2021-05-01,9,288
深夜保健室,"深夜保健室節目製作團隊與醫師專家群,鄭家純",圓神,2021-04-07,9,405
「獺祭」的挑戰：從深山揚名世界的日本酒傳奇,弘兼憲史,圓神,2021-04-01,9,261
64【全球盛讚推崇，橫山秀夫經典鉅作】,橫山秀夫,圓神,2021-04-01,9,513
是我未經允許就喜歡了你,3am.talk,圓神,2021-04-01,9,315
藍月升起：送你18個快樂處方,陳創農,圓神,2021-03-03,9,261
我竟然把我自己的肚子搞大了,朱佩慧,圓神,2021-02-01,9,288
全世界最感人的生物學：用力的活，燦爛的死,稻垣榮洋,圓神,2021-02-01,79,229
吳淡如白話經典套書︰金瓶梅、鏡花緣,"吳淡如,李汝珍,蘭陵笑笑生",圓神,2021-02-01,9,513
三十而已，最好的明天還在等你,李尚龍,圓神,2021-01-01,9,261
神住宿：超值星級體驗，精選全台13間寺廟、教會,943,圓神,2021-01-01,66,257
英雄時代,席慕蓉,圓神,2020-12-01,9,360
胡馬依北風,席慕蓉,圓神,2020-12-01,9,333
自己的力學：找到喜歡又做得好的事,洪瀞,圓神,2020-12-01,9,333
北光,橫山秀夫,圓神,2020-12-01,9,396
你值得被理解,小姿,圓神,2020-11-01,9,252
不完美的11歲,"凱莉哥,小露",圓神,2020-11-01,79,316
C30登機門的心靈旅程：改變一生的六場邂逅,馬修‧莫克理奇,圓神,2020-10-01,9,279
黑鑽定律：哈佛頂尖1%人士成就卓越的祕密,鄭周榮,圓神,2020-10-01,9,297
線，畫出的我【橫濱流星電影與原著小說雙書封珍藏版】,砥上裕將,圓神,2020-10-01,7,245
寫我的字，等你的清晨,默雨清晨,圓神,2020-09-01,9,324
不是所有親密關係都叫做愛情,陳雪,圓神,2020-09-01,79,276
你敢不敢一起來?：路邊攤詭誌錄,路邊攤,圓神,2020-08-01,7,231
那個病人，我人生的醫生,艾倫．狄維瑟,圓神,2020-08-01,7,231
斜槓青年【實踐版】：成為內控者，建立幸福人生的正向迴圈,Susan Kuang,圓神,2020-08-01,9,288
今天不挑戰，和張雅琴開心學英文,張雅琴,圓神,2020-07-01,9,288
遺跡訪詭錄,路邊攤,圓神,2020-07-01,7,217
幸好不漂亮 (電子書),蕭綽,圓神,2020-06-01,,196
幸好不漂亮,蕭綽,圓神,2020-06-01,9,252
節慶與預感【蜜蜂與遠雷‧沒說完的故事】,恩田陸,圓神,2020-06-01,79,244
