title,author,publisher,publication_date,discount,price
厭世讀論語：千年名師神回覆，開解你的人生疑難 (電子書),厭世國文老師,究竟,2022-11-01,,238
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來,麥可．史萊平恩,究竟,2022-10-01,7,259
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿,蘇絢慧,究竟,2022-10-01,79,292
獨立鍛造：一生受益的自我心理學，重新領悟生命八大任務，邁向圓滿 (電子書),蘇絢慧,究竟,2022-10-01,,259
守密：祕密心理學的第一本書!那些藏著不說的，如何影響你的健康與未來 (電子書),麥可．史萊平恩,究竟,2022-10-01,,259
社群故事圈粉術：將流量變現，讓興趣為你工作,街頭故事 李白,究竟,2022-09-01,66,283
社群故事圈粉術：將流量變現，讓興趣為你工作【獨家收錄全新專文】 (電子書),街頭故事 李白,究竟,2022-09-01,,301
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安?,安德斯・韓森,究竟,2022-09-01,7,224
你的大腦有點Blue：史上最舒適年代，為什麼還是焦慮不安? (電子書),安德斯・韓森,究竟,2022-09-01,,224
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷,潘楷文,究竟,2022-08-01,7,266
先別急著挑戰人性：20個經典心理實驗，帶你認識自己，人生不踩雷 (電子書),潘楷文,究竟,2022-08-01,,266
量子思考：跳脫常識，在沒有答案的世界裡找到自己的路,村上憲郎,究竟,2022-07-01,9,315
當牧師精神崩潰了：心理受創時，這樣找到救贖之道,沼田和也,究竟,2022-07-01,7,217
量子思考：跳脫常識，在沒有答案的世界裡找到自己的路 (電子書),村上憲郎,究竟,2022-07-01,,245
當牧師精神崩潰了：心理受創時，這樣找到救贖之道 (電子書),沼田和也,究竟,2022-07-01,,217
世界已經回不去了，學會放棄才有轉機,澤圓,究竟,2022-06-01,9,297
世界已經回不去了，學會放棄才有轉機 (電子書),澤圓,究竟,2022-06-01,,231
海獅說歐洲王室羅曼死,神奇海獅,究竟,2022-06-01,9,306
海獅說歐洲王室羅曼死 (電子書),神奇海獅,究竟,2022-06-01,,238
灰日記：生命縱有摺痕，也要活出你的高級灰,歐北,究竟,2022-05-01,9,306
灰日記：生命縱有摺痕，也要活出你的高級灰 (電子書),歐北,究竟,2022-05-01,,238
取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南,古賀史健,究竟,2022-05-01,79,402
取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南 (電子書),古賀史健,究竟,2022-05-01,,357
天堂的證明：一位哈佛神經外科權威醫生的瀕死體驗,伊本．亞歷山大,究竟,2022-04-01,79,252
天堂的證明：一位哈佛神經外科權威醫生的瀕死體驗 (電子書),伊本．亞歷山大,究竟,2022-04-01,,224
全球人才搶著學!密涅瓦的思考習慣訓練,"劉劭穎,李佳達,黃禮宏",究竟,2022-04-01,9,315
全球人才搶著學!密涅瓦的思考習慣訓練 (電子書),"劉劭穎,李佳達,黃禮宏",究竟,2022-04-01,,245
承認內在脆弱，使你溫柔又強大,片田智也,究竟,2022-03-01,9,261
承認內在脆弱，使你溫柔又強大 (電子書),片田智也,究竟,2022-03-01,,203
沒有不好的你：風行全球的內在家庭系統IFS，徹底翻轉你我的生命,里查．史華茲,究竟,2022-03-01,79,276
沒有不好的你：風行全球的內在家庭系統IFS，徹底翻轉你我的生命 (電子書),里查．史華茲,究竟,2022-03-01,,245
世界史是化學寫成的：從玻璃到手機，從肥料到炸藥，保證有趣的化學入門,左卷健男,究竟,2022-02-01,79,308
世界史是化學寫成的：從玻璃到手機，從肥料到炸藥，保證有趣的化學入門 (電子書),左卷健男,究竟,2022-02-01,,273
創傷療癒手冊：不被往事定義，走出複雜性創傷後壓力症候群C-PTSD,艾瑞爾．許瓦茲,究竟,2022-01-01,9,342
創傷療癒手冊：不被往事定義，走出複雜性創傷後壓力症候群C-PTSD (電子書),艾瑞爾．許瓦茲,究竟,2022-01-01,,266
拯救手機腦：每天5分鐘，終結數位焦慮，找回快樂與專注力,安德斯・韓森,究竟,2022-01-01,79,244
拯救手機腦：每天5分鐘，終結數位焦慮，找回快樂與專注力 (電子書),安德斯・韓森,究竟,2022-01-01,,217
生命勝任力：東方心教練向內修練、向外實現10大基本功,阮橞習Eva,究竟,2021-12-01,9,261
每個器官都在訴說愛：最撩心的解剖學,手拉心 Solaxin,究竟,2021-12-01,9,261
每個器官都在訴說愛：最撩心的解剖學 (電子書),手拉心 Solaxin,究竟,2021-12-01,,203
生命勝任力：東方心教練向內修練、向外實現10大基本功 (電子書),阮橞習Eva,究竟,2021-12-01,,203
小心，原來這樣也有事!：腦洞大律師雷丘的生活法律常識與對策,雷丘律師,究竟,2021-11-01,9,288
書頁中的永恆：書籍的歷史與流轉之路,伊琳娜‧瓦耶荷,究竟,2021-11-01,79,442
小心，原來這樣也有事!：腦洞大律師雷丘的生活法律常識與對策 (電子書),雷丘律師,究竟,2021-11-01,,224
書頁中的永恆：書籍的歷史與流轉之路 (電子書),伊琳娜‧瓦耶荷,究竟,2021-11-01,,392
奇蹟開關：改變生命，掙脫束縛，讓想像力、創造力源源不絕,哈利斯三世,究竟,2021-10-01,9,297
奇蹟開關：改寫生命，掙脫束縛，讓想像力、創造力源源不絕 (電子書),哈利斯三世,究竟,2021-10-01,,231
如果世界是一場派對,街頭故事 李白,究竟,2021-10-01,7,280
如果世界是一場派對 (電子書),街頭故事 李白,究竟,2021-10-01,,280
